"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010","sim_011","sim_012","sim_013","sim_014","sim_015","sim_016","sim_017"
1,15790,1504,3509,2015,6650,14778,6186,17321,10303,19404,1203,19588,5334,9756,15734,8007,2536
2,10518,15459,6764,9045,5491,2781,7258,2653,4520,1090,19966,3183,2475,10747,10834,7217,610
3,7622,14167,15496,14447,17490,606,7381,14338,915,12283,18703,17179,12039,9707,544,10783,1552
4,5949,17645,6960,7340,528,17295,8704,134,11450,16030,9182,16405,17744,15314,18859,15428,487
5,6928,2719,13943,15920,4706,16858,15209,11351,16073,5374,19718,14722,11547,8106,17707,4525,17889
6,15956,12282,407,4197,17428,7368,476,5296,4618,4332,2863,13137,18087,5349,10035,10330,11204
7,2894,12696,12678,604,829,7260,5594,16103,17248,18957,13611,3636,1812,10033,13221,19861,5060
8,16019,7100,11830,6122,14994,19865,1501,7873,14199,2741,16329,19367,187,13971,4762,12556,2502
9,14085,14737,12668,3665,7012,4032,13428,5309,9073,4049,16512,15214,17457,11887,7451,6675,2172
10,7911,12883,2460,5730,15171,16661,14054,9886,4701,9674,16082,4727,11371,4307,17614,15635,870
11,9632,6663,15601,8836,11815,1141,3417,17327,9268,12358,7330,754,13983,14740,11543,16607,6091
12,10038,13719,295,17615,127,17821,10527,7383,15180,8225,18548,11011,19883,10001,9419,17135,3491
13,9036,2008,956,2387,17542,4802,18456,7590,9177,17452,1397,5003,5896,7535,2610,18568,18212
14,3901,14564,15249,1753,13353,5566,9602,9981,13371,11433,10166,12654,12046,4992,12321,12201,6546
15,19267,6194,1312,1311,4455,9702,7610,11036,8104,15115,18504,13886,4792,13702,19245,8604,4555
16,5395,10827,3880,15621,16582,12663,1481,9646,5356,10008,10423,19827,4457,10587,3122,11341,11165
17,8636,16278,5468,19494,7864,9694,12105,1999,3485,13029,14767,10811,680,12055,7546,6966,1527
18,8241,12949,14626,1872,5753,13611,6340,2258,19334,15280,6385,7142,575,5156,1603,8859,9515
19,10001,9238,18158,10350,13196,2662,17632,4140,12847,539,7156,6401,15324,1825,8404,19007,10898
20,12069,11918,3808,2750,17140,7943,8894,3596,12812,12824,7570,4180,633,12012,18511,14163,2433
21,19821,9620,10732,7941,19137,7654,7587,14330,10601,10396,19239,8857,4157,18527,7900,8218,15590
22,9899,10616,3977,2807,11828,8694,3499,6282,19220,8424,8950,15417,2013,10919,3694,6160,7796
23,17639,8005,3489,13096,14891,1180,9412,14143,3987,9921,2255,1316,630,1504,17329,2038,7930
24,17217,15610,1021,17739,19959,3310,9869,11412,14402,5057,13678,17020,9151,2541,19896,16838,7194
25,6886,11320,4378,4085,9780,11262,4814,871,12878,12232,12425,11006,14963,5788,4670,4445,4428
26,5384,7559,5070,2686,9170,7686,10155,9606,10586,14499,5404,5141,11455,19041,15230,5470,18180
27,11353,7769,10684,7473,13920,10154,17106,5600,11274,1996,3013,7589,9674,19969,5895,8396,11284
28,17350,7997,14568,7382,17629,1281,18341,12628,15235,8958,14959,13071,11320,10394,4879,5028,5730
29,15652,10429,10796,6679,9140,18569,6688,2239,19984,4713,11779,14598,13023,14745,6166,9187,1118
30,14973,920,13860,15244,4922,4080,6384,10987,2823,14554,9603,4862,12732,6299,13931,5837,8213
31,12539,9751,19467,13252,242,1420,13801,18742,6420,7699,4973,18882,6396,7995,9162,10944,17894
32,10952,9421,9337,16027,11338,5863,12216,18160,16139,6442,2570,694,7812,2426,1987,13222,6841
33,3034,17143,12227,17095,3711,10432,1306,4780,6694,905,15621,11873,3781,5157,7129,19811,9089
34,3125,7906,7037,11460,4867,19345,9244,15516,669,8785,7679,857,18937,5578,11523,10978,12019
35,8437,10344,10650,16596,6927,2077,13585,4142,2146,18250,2042,16592,967,203,757,13043,5960
36,18400,8033,19434,14170,5163,2993,14002,8136,7757,13915,15084,4420,9661,12223,1206,8411,1222
37,6813,19947,18652,17619,6372,3593,15760,18322,10653,19223,18654,13554,9548,7744,5074,800,11868
38,243,4493,16664,11588,8305,12234,9875,19384,13987,16219,7980,11150,13318,1892,19903,5521,19293
39,7330,19386,17998,2258,1504,10882,18938,13157,3343,18309,12868,4505,1461,1288,2927,10209,16964
40,4956,15974,807,17504,15076,11348,613,16490,3932,7232,3281,16473,11721,15483,8675,634,2355
41,9684,3385,1621,19127,17575,11364,18294,10938,10011,6334,6216,19541,15763,13929,2891,15622,1151
42,503,15303,19692,1686,19005,5940,17131,13936,2042,6408,18515,1297,10259,13816,3999,6552,18584
43,9757,345,11982,7601,19800,17181,8298,10431,5982,19513,7215,12469,16020,15291,11082,19629,1112
44,8922,1915,4599,6723,14972,9216,19282,1245,7531,14411,14319,12038,16564,14101,4438,15416,8308
45,8502,11373,2581,4405,13355,9694,3741,16084,15620,15387,19714,4909,9452,11044,3089,13010,11097
46,13070,2008,1853,13573,2560,7650,2900,491,6863,3831,18781,9738,18177,18931,19654,1439,912
47,7558,11862,15136,889,18137,6538,5042,942,12375,8876,6776,16654,11498,2113,10710,16366,3374
48,15261,9793,8196,16990,15760,2001,9526,17227,13446,12631,18698,4588,3848,6575,2420,11538,14312
49,2070,10838,17095,14489,5956,7326,9372,4138,7509,14176,10287,11641,3619,17711,548,10263,1005
50,18708,18928,15771,14891,1303,16930,10990,15951,395,15924,7927,12880,2699,1846,12159,13410,5591
51,248,7945,8967,18691,17294,5382,17453,16287,18768,1911,7535,3136,13220,8892,7629,14408,9295
52,3047,13616,15281,4200,7908,8997,16482,15967,1623,13687,16601,2664,13511,734,15616,14997,7050
53,3498,7242,7510,11980,17587,16541,18344,16195,5426,10446,15775,8750,1545,15978,18838,8603,6996
54,2232,12911,4513,16017,5542,10699,2228,6165,6744,15281,11062,13809,648,4875,6149,19246,19119
55,12114,4580,16806,2557,1962,10875,8766,11197,1455,17726,8016,8252,6926,5347,13166,2095,5189
56,16612,12636,3854,11400,19021,10172,2009,1771,18582,11077,2041,5717,19268,8079,2409,15865,6317
57,11670,5751,19112,12774,14055,19431,11822,845,9028,8189,19947,3379,15807,8276,16328,12047,7732
58,12287,5230,11542,3654,12601,7235,8585,16143,3979,11072,6212,3237,13770,4830,13622,178,18726
59,13356,7384,7244,14100,9711,6083,13425,3098,6333,19490,541,8827,5406,19755,6147,10422,16795
60,9207,18181,12117,6544,8340,2998,5866,17625,767,6431,12677,11792,14347,4076,10038,15402,15498
61,17815,6817,12736,16727,2677,2346,607,13730,7269,16450,7475,14862,6266,11859,10529,11346,14624
62,16433,16936,8541,4283,11658,11630,11009,16237,11254,4030,19202,9347,4375,8104,1828,1579,12229
63,11546,3611,14090,8861,3591,8381,16852,366,18360,8085,15931,18075,1435,6020,246,11502,3934
64,2154,3589,11749,1363,7050,4196,1819,5203,11759,15022,1414,1855,5605,12141,7173,338,8452
65,18107,5655,13339,4301,459,5552,16200,14160,7690,195,4737,13350,903,12012,4366,13628,3614
66,19600,9294,2104,13262,1519,15081,15707,1279,6441,3211,3634,4106,19208,528,12594,16542,1724
67,6518,19295,18301,2271,9294,4977,18751,9557,12073,8497,11319,18617,19419,7681,14625,8401,12376
68,12279,2459,10308,11047,17440,10052,8953,4065,19279,661,3374,2604,15707,17297,6090,3821,2387
69,12072,7300,7735,1314,10759,7651,11820,1811,13640,15521,7707,7162,8029,14811,9572,14278,14800
70,16538,873,17634,3926,18936,16965,8620,5867,8182,7974,3045,14726,9035,3538,6701,9414,3576
71,5215,7625,14350,14668,10163,5247,17263,13440,8895,12261,14573,2204,7472,17293,8611,9245,6100
72,598,6878,5714,12332,5596,5963,7810,16615,9463,17135,19908,3284,18156,19768,7582,13778,10119
73,5306,17598,2244,16983,14516,1310,1176,12215,9667,9627,3042,18509,3861,8220,5041,13689,16637
74,6740,19045,1483,10633,19021,9362,7362,3131,10518,856,2560,4007,14827,19798,13983,6287,7348
75,14833,11354,18004,18465,1126,15203,15943,19131,13234,10775,9622,4641,7463,11134,13607,9500,9756
76,13387,16259,6704,3808,15229,5718,6366,8998,6999,13884,19987,15312,11489,18316,14982,14653,12132
77,15960,11852,6736,287,1523,1561,17473,17373,8050,10489,17323,19945,15073,5486,16802,11569,6603
78,7219,12652,15863,12832,2870,18132,15164,12322,15551,9961,11070,19761,13378,18783,5340,7255,14140
79,1422,403,19119,12327,9962,3414,6642,4166,16734,17192,8277,7054,18919,4833,19859,18003,8542
80,5184,2886,16409,7396,13071,5270,17436,9987,13129,18117,4620,11872,409,15171,1871,10783,3058
81,13492,182,16468,3973,19141,19112,1212,9021,19620,5112,13992,18285,3201,2353,5679,3691,3447
82,9467,8401,14936,10670,13597,1348,15405,17574,175,4032,16110,15938,5545,6034,19293,19153,16061
83,3961,7885,1416,409,3173,11257,11909,16252,9784,18197,17200,8368,4747,14572,11809,14883,16467
84,10262,13833,2111,8774,19681,19208,7250,14765,12384,7910,1683,12842,3208,6264,12688,16950,6842
85,2016,2347,11429,1406,11531,12038,4780,13789,10593,5393,1068,19343,17812,10370,9083,3755,16753
86,14606,17032,15998,2500,19032,3100,9684,19231,15205,13356,15891,8912,16378,3713,17356,8777,18606
87,10542,681,19846,6027,11350,12641,18646,7226,17065,7874,16799,6790,11728,18034,18376,18093,15754
88,16157,4472,13512,18856,12584,19951,891,16754,1190,11062,15317,11353,14394,13826,5417,9171,5377
89,9557,14969,4957,18946,8649,15926,2502,850,9802,16841,4179,2386,2478,2170,4434,12106,16323
90,2162,12764,14262,2753,19900,13456,6935,6663,12189,13441,5159,14517,8499,10802,10173,7845,3306
91,11426,12428,864,11201,616,2660,3479,18881,12533,19457,15068,12310,18173,2459,4404,15692,3089
92,14260,6768,8867,1986,7871,16597,9540,17041,9726,3381,2492,7453,12410,18843,16116,4823,18266
93,127,15394,631,11241,18411,10254,8231,10583,3686,5722,9379,19080,194,1451,9021,7570,13346
94,11542,10159,17436,7663,9417,7834,3837,6554,19983,6444,3196,18490,19593,7137,3512,900,11037
95,18076,15166,4959,4156,5216,15507,5732,4085,14231,10235,11777,12357,12651,6689,15800,3232,2495
