"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010","sim_011","sim_012","sim_013","sim_014","sim_015"
1,7924,101,19537,13804,9961,7235,18785,5182,14774,19428,12024,7034,17217,14757,18865
2,14338,10656,851,5886,17411,15532,19091,10948,12782,19601,1666,2672,16563,149,13814
3,18286,4751,6057,15166,11427,9149,12219,10263,19382,7916,17360,7519,8306,15965,5315
4,4960,2570,19381,19387,8874,688,7621,4982,7720,16009,2114,5230,11953,11527,15290
5,4362,11435,3218,1829,19757,17269,2754,6177,18922,2639,6119,2450,11345,13887,14264
6,7033,10410,1580,1839,10514,14148,7694,4005,2138,17010,10552,4583,16952,4927,15356
7,19498,3905,9889,748,10619,15910,19747,18033,3794,9568,8536,10061,12944,14305,5885
8,460,12331,533,15652,4220,17554,12927,9162,6320,6699,11697,17664,2196,1641,18560
9,12112,7662,3975,11903,6466,16084,4086,18904,3836,6801,19857,11411,5541,12994,5858
10,4502,5134,13122,13515,5733,5735,2052,1252,8912,13066,19818,7814,3243,6085,10604
11,1111,14264,17465,12404,8134,6703,1722,3884,2840,6887,11488,3108,6889,12812,12297
12,15540,16154,13158,4181,9149,15106,7790,17053,1097,766,19460,11434,8474,443,14260
13,18838,10941,3233,6544,11015,9004,14012,7413,10230,10763,4983,17893,6491,18630,8785
14,12527,5035,13839,9038,13933,9332,3800,15062,4666,8691,19635,8469,14579,1101,1961
15,16423,6859,13394,6662,9672,9467,15412,17810,2885,14810,15975,10702,16072,10845,14373
16,14364,11712,14736,12084,16458,10973,5329,10292,6060,10000,9169,19638,11184,5782,16421
17,2569,14830,6621,11740,5108,13328,4083,5074,18171,8409,19415,7938,16341,17294,3809
18,13468,1340,4054,8095,16679,954,11509,17768,6008,10264,2573,1400,14260,1463,9974
19,1538,2580,10613,16227,15908,8052,286,10616,621,12261,3678,9073,2907,14762,14549
20,3311,12075,18798,1430,9910,8641,16998,15465,17736,19303,5492,10694,878,1266,15440
21,7614,10968,12808,4754,3577,15695,15599,6967,11046,13086,5768,4642,6389,3888,12979
22,19240,2191,13064,7645,18794,8845,7346,5664,9238,9527,3734,12463,11629,2257,6439
23,17543,18174,450,5637,7865,12646,11624,18402,8059,16588,7836,3019,597,4377,10902
24,13458,572,7512,5461,14345,16734,1265,11042,17076,7612,14327,1280,13746,8272,19368
25,15413,4986,7466,19283,4922,7098,9440,4056,5379,19381,9276,18568,5678,3480,8451
26,5983,17513,10573,12859,9338,6894,11157,17669,14052,5628,3581,12416,1390,3755,6360
27,12531,18360,15839,17860,9621,2758,14901,12420,13009,12099,14875,16744,7031,14417,109
28,15651,14030,18792,6178,12058,10374,18871,7515,9261,7633,2031,2507,10020,13550,17781
29,8937,10616,16363,19283,2830,3267,12697,11918,14937,18058,14511,15444,810,11353,5806
30,8691,4546,12645,18391,4310,3687,13590,18913,4393,4150,12029,11078,11487,1149,2570
31,6085,9007,15008,9734,18991,15471,16963,1342,6434,100,2453,19998,16811,11236,15997
32,15259,2919,3487,3889,19479,16382,16488,8596,18292,4634,2531,17574,16846,4515,5575
33,1456,15545,15909,17750,3048,13685,7078,8398,12264,5069,5027,15616,18807,6720,3823
34,10561,13465,6379,1316,6650,18186,11515,5413,8558,16960,8066,17945,2278,17148,12102
35,17614,3171,15654,995,13026,7541,17664,17276,16460,3752,2295,3062,4725,10471,4450
36,11193,3865,9448,10657,9426,16922,16775,14355,8751,3393,3737,3662,5027,3332,17249
37,17624,7766,8049,9271,7990,10346,7713,19598,6302,12263,16764,1185,1615,1567,6306
38,6166,16794,15719,12118,18149,10741,6570,1717,9653,19419,18794,12866,6541,688,14424
39,507,8374,8483,5894,8927,1300,8194,3304,12347,9779,2669,6686,4386,15727,2279
40,7087,7983,12669,11096,13132,127,1639,14691,3847,14892,15280,9021,15854,3209,14412
41,11549,14474,15356,3742,12849,3208,4120,1897,15743,7511,2253,2721,10824,356,5978
42,9120,15780,11408,2138,3267,16474,18692,12037,8388,16066,5194,2209,11142,10210,17144
43,17850,18140,7642,5427,16186,1740,12594,17678,17431,3951,5198,143,18407,11929,4628
44,781,15869,4222,11610,15763,2872,8839,7468,18065,8563,8664,1736,3455,1549,3143
45,7650,3138,11974,1297,14391,12815,576,12888,19072,1319,7144,16378,11910,18736,12975
46,12524,10737,7878,17695,15539,9103,133,5555,11899,6725,4189,1239,2016,10825,6155
47,10933,11578,3219,2767,13183,6934,342,17107,2831,16811,8872,3421,19348,111,18187
48,18811,9793,6062,6113,5834,18720,16139,17666,5087,10096,9919,13108,6309,2499,17394
49,12658,6339,8427,10260,19057,13497,16560,7587,17468,3502,476,15693,18762,8852,3265
50,5672,10870,11441,8244,13397,13811,6106,14640,3488,16445,5294,15904,3500,9541,1470
51,7572,7795,631,11710,4585,5954,3054,6179,10823,12935,2790,11574,2637,12619,4062
52,15786,5626,18234,14486,13024,17144,10612,5400,2849,18726,17945,5590,3211,2341,14756
53,6791,13568,10841,19241,19020,3154,9815,544,3268,17818,14276,439,857,2353,18093
54,13215,1652,15089,17818,5617,2317,2183,9985,17472,8049,612,6785,18505,7147,8289
55,16926,8647,5959,3180,2339,2897,5446,6669,13114,9923,18430,7910,15346,2804,17527
56,9638,16413,11746,3671,6255,16715,509,12263,7114,5928,11559,10801,19336,4158,7790
57,5581,2837,15461,17136,14401,16259,6387,19077,15949,3676,7063,4257,5058,5692,16373
58,858,10047,10248,2496,1465,10726,9519,14241,10572,5074,18333,11187,15537,7348,1986
59,14351,4603,7831,18954,7293,17795,15436,14546,7885,8739,18094,1307,10421,15029,19873
60,7653,7651,688,18704,4049,14346,13062,18882,5277,2248,3590,3125,3722,4986,18530
61,13914,19366,15821,17416,15124,14659,6215,12150,16926,8209,18667,6753,11455,4708,18860
62,3585,18746,3596,18020,12138,19164,15285,5156,19488,1856,7431,11368,13743,10413,14148
63,14370,2389,15544,2193,5213,12402,7254,17588,17278,15041,17119,9961,14622,1461,19273
64,1631,19067,15614,8768,140,4891,3614,6701,17293,3484,971,330,15682,13416,19719
65,13490,7903,5520,19282,118,9524,6284,16433,9413,19562,19408,6466,1597,14929,14536
66,8227,14791,11616,17964,18511,4042,792,10395,6286,16133,17072,15744,8541,578,13421
67,13882,15226,6263,4592,13748,12749,5059,18661,148,3420,5236,9175,16281,12368,17944
68,19224,3813,14588,9969,3013,14007,17363,1356,7022,9554,8726,7701,1552,18599,12625
69,19693,8761,4438,896,8564,18608,9398,18352,17179,17661,12016,865,18262,10504,4594
70,16131,2612,16165,2677,16649,1258,9649,7306,8865,9560,7026,7040,10293,6679,8104
71,15799,7493,15214,267,7103,14427,8222,5997,10479,9899,17418,529,12922,13301,12818
72,5600,11326,8123,1933,7128,6428,10760,18522,1508,16934,10183,3367,14291,16390,3597
73,8938,5917,9484,10244,3166,207,3136,14098,8420,6888,1695,6627,7306,14565,4198
74,5056,15577,10927,3693,17135,18962,17167,12369,13146,16652,10000,122,14761,2613,9506
75,6697,16428,711,9803,17736,16242,9322,7012,11942,10956,14480,9418,19280,1604,8433
76,15794,19586,2880,8705,3933,4323,8780,15751,8205,18062,3995,19479,5472,14107,6293
77,1747,2855,930,3780,6107,12895,4698,10474,2281,2692,7467,15930,7537,15965,18096
78,19763,8663,9289,19497,2731,6588,17212,6474,19557,6664,13381,16160,15967,8159,7090
79,8820,16374,14292,8147,12761,5780,8178,1665,15124,19420,19561,2477,12848,10134,12155
80,3384,6941,15272,7242,7316,12679,17513,18706,17991,14754,402,2213,19294,6274,14086
