"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010","sim_011","sim_012","sim_013","sim_014","sim_015","sim_016","sim_017","sim_018","sim_019","sim_020"
1,11287,12115,9605,6413,8983,17545,17069,9142,639,13556,9352,12185,15849,9647,5231,7028,18662,7355,7925,5059
2,5437,14422,3903,7347,177,13390,18395,2880,7790,16099,11718,13546,15216,11918,14068,316,4888,12873,14405,14748
3,9035,8011,7092,8560,16359,5416,19558,9578,17302,1293,16762,8883,8302,13872,4398,19452,13135,2708,9087,2432
4,11686,5558,19746,3640,16176,3625,8029,7567,2003,3244,16286,15826,19197,359,16153,16826,16276,11125,7166,956
5,15910,12988,10958,266,14383,3463,18657,9243,10484,1733,5122,9380,7098,14192,11107,9117,6146,6444,19622,2994
6,7091,19177,10539,110,19573,1923,15290,9176,10880,11869,13030,16725,12971,402,12820,14493,4073,3262,13279,4718
7,9542,13732,8190,2061,15067,8276,12356,12974,6649,547,18740,3622,5382,4983,4740,17802,17056,18699,5921,7046
8,4509,14559,297,5727,12986,16754,19540,7671,2911,19349,7384,5640,2961,7223,19901,9146,16423,16874,5615,16453
9,18796,13847,12434,11936,5164,11349,1172,14504,9610,19103,1364,14394,2784,9203,12067,17844,16614,7140,11393,18950
10,11251,11564,19852,5419,16616,7147,16101,4501,15704,14309,9667,12193,13317,11175,12809,10100,15875,16275,10420,8022
11,2759,8253,14563,12356,2062,17710,2078,13957,9452,10590,5346,12993,7392,4797,13036,13505,12117,19117,2437,9423
12,5530,8329,12852,799,16732,16383,6084,14395,461,19640,7215,2952,8660,11236,7168,7138,11889,16266,4565,13581
13,15096,19923,6553,9242,3959,7925,1442,10902,16087,13453,7640,16726,16224,3498,1879,3514,7999,19538,19713,14497
14,9480,13755,16973,12159,1630,8705,10071,3527,2774,6044,6039,4335,3788,14870,1575,13778,1642,18235,4959,3517
15,17409,3407,9198,12128,12615,10080,19426,16335,11008,10277,584,17421,279,6237,7567,8794,16983,14691,329,13187
16,1651,15967,16626,3455,4742,15767,1305,11467,13587,5962,12237,7260,6888,19373,10704,16073,4570,9281,17452,12037
17,1539,7765,8662,12861,15771,14440,18325,758,8600,6035,2166,12017,18426,9305,1795,14844,18598,10789,9867,19182
18,14157,3825,1383,11367,17549,19654,8807,4408,10188,2038,5925,18674,4411,13005,7987,14580,5781,2906,19252,3027
19,8697,11263,4004,16957,8990,18913,12728,11708,19259,12437,18318,16608,1259,16331,15241,7100,12353,19174,7918,10004
20,15064,12470,11572,12099,15744,3772,4634,2266,15691,8728,7356,9757,3980,13827,16301,1568,4173,17866,6501,15160
21,6559,7683,3944,11046,10378,6829,9160,6430,9134,9242,5240,18397,4463,12833,3578,5604,13481,12474,1685,3981
22,7745,16360,18342,15936,19396,7936,14123,13521,12538,985,719,15118,691,8577,1243,8058,16772,8000,16426,17630
23,7199,3832,14339,7608,10129,18999,18957,19467,3139,10009,15684,16878,19123,16099,18654,377,1007,19997,10665,1169
24,14486,9997,19183,18442,17167,6109,17650,5811,12373,12023,1049,13010,19087,14625,14157,15278,12633,15155,16406,10604
25,12064,14013,1771,19533,14118,15571,16698,1194,2373,10215,9904,7224,13613,566,19691,1349,16744,11672,13132,4719
26,15408,9451,3088,15765,13881,8261,16496,310,8021,1082,12353,6476,17086,17348,196,16055,1310,7514,6237,1890
27,11399,2186,11155,12752,13325,12071,5098,4718,16454,14956,15598,9277,17677,5205,19759,15529,10232,11239,150,7528
28,19070,15499,14121,18005,10188,191,17808,6992,17445,17243,8809,13789,10464,15586,10857,13535,1858,8028,9876,6717
29,2124,731,15702,14008,18069,13424,16761,16606,1130,11653,1566,2850,18668,11527,10394,7655,17814,10329,12565,18254
30,19683,7768,297,9061,14711,19081,9345,17622,7803,11690,9104,17475,16420,2537,2090,6535,17630,18646,19030,4862
31,17419,8062,4301,5568,11656,18137,14253,7398,13272,8635,3492,13109,2975,3539,13626,12565,6776,19072,6849,18470
32,12471,5149,9279,11937,12464,19909,17846,8227,854,10367,4974,6762,15195,16395,17970,3436,13223,19649,13876,8590
33,11333,15753,9941,7434,3207,12127,5152,544,18749,12040,14042,11043,9532,10652,7557,587,17102,6060,17233,13921
34,17980,7290,278,13323,12303,1268,19705,13028,18382,1347,3689,10195,17162,3204,9691,5487,2539,9344,5778,15857
35,16615,18758,11130,8150,6986,15961,17960,18805,16367,4337,5270,2816,15479,1302,7780,16917,1477,15096,13249,15602
36,8974,14026,19500,10097,19213,19732,19061,3751,12359,18318,5679,3139,19887,5215,3090,15328,19747,1937,2834,14961
37,11553,17181,14650,14824,3414,4396,9870,8743,14434,12120,15936,2768,10892,17510,19295,13327,11105,12293,8224,14302
38,2706,18717,17720,8670,17689,6725,1283,17866,4066,18393,6131,9221,15254,7918,12984,13454,2911,19887,3127,13341
39,19538,14583,11638,16942,3666,14730,12577,4087,19823,3864,7900,12189,17087,2118,298,12754,1519,16243,19090,6444
40,1601,9212,17860,4838,14360,6963,16544,19506,14107,11774,11580,9633,10755,4011,5950,18572,19660,8462,12618,11588
41,19008,3609,18622,16014,16410,8932,9836,15510,14090,12194,10375,5491,19284,19813,16444,18533,17693,15760,18470,13161
42,18580,5586,4693,13377,17403,2302,9238,14324,14779,16978,2751,16397,1561,19161,17271,6683,14566,12955,2926,14129
43,10489,12045,13591,1444,5427,8672,5589,4781,9573,13772,8458,10416,14279,13361,17903,2926,15105,19289,3697,2582
44,5852,15318,17945,3987,12042,9050,7113,10738,10276,3061,7327,14199,3271,16065,2903,1735,4281,11944,1899,11503
45,6667,4779,6189,13634,9654,9500,13868,789,14434,19741,14014,839,10764,7945,17106,14841,7973,13190,9961,11288
46,6489,9548,1745,577,1890,2613,10593,891,7652,12245,17001,10436,12425,9971,1493,3765,4890,13797,11198,10170
47,18989,11311,1464,1245,7425,5632,10431,17336,881,14727,5750,8130,348,3432,15592,882,3509,19801,6499,18783
48,14352,19923,16041,12605,14718,18543,9358,690,12990,15597,1490,13042,11636,1188,8454,15998,17644,6102,16353,6483
49,6495,6049,8546,19087,7568,14860,18607,9920,17746,14106,14524,2682,423,997,16738,15555,6758,12416,18862,5377
