"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010","sim_011","sim_012","sim_013","sim_014","sim_015","sim_016","sim_017","sim_018","sim_019"
1,10057,2216,9152,112,3053,13564,16229,1903,12703,16052,17659,7835,13865,1875,9406,18625,4662,14422,3008
2,1205,19143,12163,17585,8479,19083,2807,1424,12886,7128,1777,484,4531,1879,956,17753,11032,14456,19735
3,12294,13220,16362,15200,1646,15977,3634,8930,6103,189,1751,11369,19518,4254,15766,16280,2928,13379,16962
4,18208,15514,1222,2778,7957,12542,15560,2628,453,9004,2645,16433,7208,9532,11805,3051,12969,14195,3925
5,10280,7074,1962,14632,19780,1628,11289,12991,4681,476,12017,13828,17574,16159,3046,4307,7164,15981,16345
6,13269,1505,707,11170,6035,9272,7611,382,9962,3804,9521,5632,1948,1602,10203,9091,2696,709,9381
7,3290,9090,18649,12143,15675,16244,7110,4131,17337,1174,19020,5575,1084,5658,8040,10119,17785,8377,7989
8,10914,10063,6749,4702,9103,12091,886,12236,19000,18067,19455,11332,11574,19311,16542,4549,13023,4128,19298
9,5518,11943,15572,4899,6972,9386,1338,11154,13972,14644,2283,11279,7573,10981,10622,5409,7794,14151,16731
10,14830,17025,2109,7216,18367,7177,5461,14253,19530,11875,2313,19028,7899,10651,1079,12691,10620,1632,3319
11,11485,10258,13020,17158,3613,13358,12647,13737,18081,16858,19891,11805,14419,16143,10604,7737,18136,10511,8981
12,12798,11119,3561,4866,9491,10166,6000,1757,5519,19128,2097,18790,11557,10567,19228,7953,19092,13736,11948
13,6931,3645,7621,1709,5746,683,10060,5889,17782,19591,11592,18914,10269,16415,2840,16105,8287,9887,5327
14,6585,11415,297,7002,11031,6889,6469,9759,414,17756,3700,14021,599,13103,970,16650,12069,17426,10441
15,13385,6910,2523,15484,2000,7203,18473,15319,4110,17136,17401,7869,4747,10605,4844,7914,11619,16932,17728
16,11652,15868,14629,8160,18870,1753,10053,12687,11371,4902,8212,9146,16939,10491,4405,11631,19910,13649,3211
17,17907,7518,15442,14956,7402,4370,1421,6169,11593,14377,15097,11648,8896,15720,19802,13366,13355,266,12409
18,19893,17797,1574,16026,15265,14704,11169,8176,8884,2652,14177,11377,17320,5204,5739,6399,577,2332,16838
