"","From","To","Probability","Distance","Relationship"
"1","Index","USA-MA-CDCBI-CRSP_UCZJZC6XOVKICFA7-2022",0.0138888888888889,NA,"Index Case"
"2","USA-MA-CDCBI-CRSP_BXK7BWIDGMNPOU6W-2022","USA-MA-CDCBI-CRSP_UCZJZC6XOVKICFA7-2022",0.0694444444444444,0,"Same Consensus"
"3","USA-MA-CDCBI-CRSP_T7CS4QFEGJFJAQXI-2022","USA-MA-CDCBI-CRSP_UCZJZC6XOVKICFA7-2022",0.0277777777777778,0,"Same Consensus"
"4","USA-MA-CDCBI-CRSP_A7Z3JYQSJUHNUTTA-2022","USA-MA-CDCBI-CRSP_UCZJZC6XOVKICFA7-2022",0.569444444444444,0,"Same Consensus"
"5","USA-MA-CDCBI-CRSP_AHLSWAQR5BDN6CKM-2022","USA-MA-CDCBI-CRSP_UCZJZC6XOVKICFA7-2022",0.0138888888888889,0,"Same Consensus"
"6","USA-MA-CDCBI-CRSP_27SHNP7L3PE4ZRMD-2022","USA-MA-CDCBI-CRSP_UCZJZC6XOVKICFA7-2022",0.305555555555556,0,"Same Consensus"
"7","USA-MA-CDCBI-CRSP_UCZJZC6XOVKICFA7-2022","USA-MA-CDCBI-CRSP_FOXZDBRP36DELNLX-2022",0.0138888888888889,0,"Same Consensus"
"8","USA-MA-CDCBI-CRSP_BXK7BWIDGMNPOU6W-2022","USA-MA-CDCBI-CRSP_FOXZDBRP36DELNLX-2022",0.861111111111111,0,"Split Bottleneck"
"9","USA-MA-CDCBI-CRSP_A7Z3JYQSJUHNUTTA-2022","USA-MA-CDCBI-CRSP_FOXZDBRP36DELNLX-2022",0.0833333333333333,0,"Same Consensus"
"10","USA-MA-CDCBI-CRSP_AHLSWAQR5BDN6CKM-2022","USA-MA-CDCBI-CRSP_FOXZDBRP36DELNLX-2022",0.0138888888888889,0,"Same Consensus"
"11","USA-MA-CDCBI-CRSP_27SHNP7L3PE4ZRMD-2022","USA-MA-CDCBI-CRSP_FOXZDBRP36DELNLX-2022",0.0277777777777778,0,"Same Consensus"
