"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010","sim_011","sim_012","sim_013"
1,3627,13940,10176,3046,5304,13485,12245,15929,13425,6817,16331,19969,6667
2,13965,12564,1274,9480,16274,5033,3232,103,13343,14664,9900,3124,7959
3,10668,5626,16926,18909,556,5120,9545,14507,7559,2469,1411,16522,17009
4,9691,19882,18507,5521,12020,13499,4902,18469,13116,19302,12661,13220,3979
5,13639,18216,9272,9819,6886,18827,19926,1983,142,7239,13443,14109,9038
6,9048,7731,13642,19568,476,17069,1810,12376,1987,3082,7862,2954,18832
7,8468,11749,6580,8607,9731,17643,3805,19229,1303,13804,452,10267,3494
8,19192,2393,923,14203,12509,7853,17791,19692,19052,5723,5875,9558,12240
9,10046,14303,3852,3840,16801,3231,14408,2395,16274,9116,871,424,7265
10,19878,15156,19512,6442,11231,8564,5928,16850,15995,13018,15319,7832,13271
11,4131,6944,17917,17115,9402,9490,1378,8521,14780,574,7612,11268,3892
12,5718,11696,18173,4402,8448,10197,16038,5789,19009,5365,6580,1552,10860
13,12173,7322,6212,17720,4153,15830,4704,10753,4670,1468,9868,17417,6548
14,17050,15134,7733,6748,18494,9700,6949,16768,18188,17789,19902,2862,16671
15,12189,6860,2025,9498,18087,18344,3699,3728,6614,9081,8204,3630,15282
16,3831,18414,1144,1113,16932,18197,5090,19403,12221,11565,14730,4170,15769
17,11513,10538,8399,14869,3320,5919,4506,6248,12587,5684,8616,19189,17365
18,3051,9271,6159,407,4671,14403,12116,1981,16341,17870,4760,16916,6945
19,1554,207,11284,19241,3038,6613,1974,7729,5053,12308,15410,9970,3213
20,7559,14648,7450,10330,13781,2469,1205,6684,8325,6697,14811,2899,8818
21,17896,18818,14164,14884,7991,6999,13580,18037,2032,13018,418,9220,16292
22,13810,2537,14307,13640,5579,10306,14764,6581,19675,4472,11168,16148,19932
23,13964,4543,494,1465,8943,7974,19359,13352,8108,9338,3861,19628,13027
24,2355,494,11956,6500,14609,4878,18593,1485,10206,1597,13093,4079,6562
25,12592,15171,11273,19426,14497,12868,10999,19511,14625,18721,18056,13820,7901
26,13471,16756,19948,12093,14355,4051,19900,827,13727,11421,7283,13452,136
